player_id,player_name,position_id,position_name,appearances
3943,Declan Rice,11,Left Defensive Midfield,17
5574,Toni Kroos,11,Left Defensive Midfield,14
15503,Jerdy Schouten,9,Right Defensive Midfield,12
3500,Granit Xhaka,11,Left Defensive Midfield,12
6983,Remo Freuler,9,Right Defensive Midfield,10
39460,Nicolas Seiwald,9,Right Defensive Midfield,10
10287,İlkay Gündoğan,19,Center Attacking Midfield,9
21582,Tijjani Reijnders,11,Left Defensive Midfield,9
30714,Jude Bellingham,19,Center Attacking Midfield,8
9195,Robert Andrich,9,Right Defensive Midfield,8
3089,Kevin De Bruyne,19,Center Attacking Midfield,8
31968,Adam Gnezda Čerin,9,Right Defensive Midfield,8
3570,Pierre-Emile Højbjerg,11,Left Defensive Midfield,7
6655,Fabián Ruiz Peña,11,Left Defensive Midfield,7
8621,Morten Hjulmand,9,Right Defensive Midfield,7
39167,Xavi Simons,19,Center Attacking Midfield,7
6765,Rodrigo Hernández Cascante,9,Right Defensive Midfield,7
48347,Amadou Onana,9,Right Defensive Midfield,7
30179,Ivan Ilić,9,Right Defensive Midfield,6
99174,Kobbie Mainoo,9,Right Defensive Midfield,6
24977,Christoph Baumgartner,19,Center Attacking Midfield,6
12169,João Maria Lobo Alves Palhinha Gonçalves,11,Left Defensive Midfield,5
10534,Callum McGregor,11,Left Defensive Midfield,5
48347,Amadou Onana,11,Left Defensive Midfield,5
7039,Hakan Çalhanoğlu,11,Left Defensive Midfield,5
8506,Konrad Laimer,11,Left Defensive Midfield,5
15896,Timi Elšnik,11,Left Defensive Midfield,5
16532,Daniel Olmo Carvajal,19,Center Attacking Midfield,5
34639,Vitor Machado Ferreira,9,Right Defensive Midfield,5
30714,Jude Bellingham,9,Right Defensive Midfield,5
5487,Antoine Griezmann,19,Center Attacking Midfield,5
11396,Florian Grillitsch,11,Left Defensive Midfield,5
5204,Bruno Miguel Borges Fernandes,19,Center Attacking Midfield,4
21633,Joey Veerman,11,Left Defensive Midfield,4
42822,András Schäfer,11,Left Defensive Midfield,4
5204,Bruno Miguel Borges Fernandes,11,Left Defensive Midfield,4
4870,Tomáš Souček,9,Right Defensive Midfield,4
57303,Kristjan Asllani,11,Left Defensive Midfield,4
3193,Bernardo Mota Veiga de Carvalho e Silva,19,Center Attacking Midfield,4
3493,Emre Can,9,Right Defensive Midfield,4
8950,Orel Mangala,11,Left Defensive Midfield,4
11416,Jon Gorenc Stankovič,11,Left Defensive Midfield,3
8966,Kai Havertz,19,Center Attacking Midfield,3
7162,Ádám Nagy,9,Right Defensive Midfield,3
24438,Ylber Ramadani,9,Right Defensive Midfield,3
7039,Hakan Çalhanoğlu,9,Right Defensive Midfield,3
9927,Rúben Diogo Da Silva Neves,11,Left Defensive Midfield,3
22212,Orkun Kökçü,19,Center Attacking Midfield,3
9085,Salih Özcan,9,Right Defensive Midfield,3
2954,Youri Tielemans,9,Right Defensive Midfield,3
3042,Mikel Merino Zazón,11,Left Defensive Midfield,3
5527,Thomas Delaney,11,Left Defensive Midfield,3
24921,Martín Zubimendi Ibáñez,9,Right Defensive Midfield,3
3570,Pierre-Emile Højbjerg,9,Right Defensive Midfield,3
3043,Christian Dannemann Eriksen,19,Center Attacking Midfield,3
31067,Billy Gilmour,9,Right Defensive Midfield,3
41202,Giorgi Kochorashvili,11,Left Defensive Midfield,3
5589,Sergej Milinković-Savić,11,Left Defensive Midfield,3
29399,Conor Gallagher,9,Right Defensive Midfield,3
264017,Anzor Mekvabishvili,9,Right Defensive Midfield,3
143859,João Neves,9,Right Defensive Midfield,2
12293,Kaan Ayhan,9,Right Defensive Midfield,2
116587,Arda Güler,19,Center Attacking Midfield,2
11457,Vincent Sierro,9,Right Defensive Midfield,2
11000,Taras Stepanenko,11,Left Defensive Midfield,2
78241,İsmail Yüksek,9,Right Defensive Midfield,2
42822,András Schäfer,9,Right Defensive Midfield,2
12169,João Maria Lobo Alves Palhinha Gonçalves,9,Right Defensive Midfield,2
24778,Eduardo Camavinga,11,Left Defensive Midfield,2
39460,Nicolas Seiwald,11,Left Defensive Midfield,2
39461,Cole Palmer,19,Center Attacking Midfield,2
12293,Kaan Ayhan,11,Left Defensive Midfield,2
38975,Georgiy Sudakov,19,Center Attacking Midfield,2
38909,Nicolò Fagioli,11,Left Defensive Midfield,2
16344,Răzvan Gabriel Marin,9,Right Defensive Midfield,2
16489,Nemanja Gudelj,11,Left Defensive Midfield,2
34639,Vitor Machado Ferreira,11,Left Defensive Midfield,2
21294,Mykola Shaparenko,9,Right Defensive Midfield,2
32030,Nedim Bajrami,19,Center Attacking Midfield,2
21582,Tijjani Reijnders,9,Right Defensive Midfield,2
10481,Aurélien Djani Tchouaméni,9,Right Defensive Midfield,2
22212,Orkun Kökçü,11,Left Defensive Midfield,2
28034,Lukáš Provod,11,Left Defensive Midfield,2
30486,Pedro González López,19,Center Attacking Midfield,2
11383,László Bénes,11,Left Defensive Midfield,2
7039,Hakan Çalhanoğlu,19,Center Attacking Midfield,2
3567,Georginio Wijnaldum,19,Center Attacking Midfield,2
7801,Antonín Barák,19,Center Attacking Midfield,2
6798,Stanislav Lobotka,9,Right Defensive Midfield,2
3664,Trent Alexander-Arnold,9,Right Defensive Midfield,2
3961,N'Golo Kanté,9,Right Defensive Midfield,2
3089,Kevin De Bruyne,11,Left Defensive Midfield,2
8518,Marcel Sabitzer,19,Center Attacking Midfield,2
3943,Declan Rice,9,Right Defensive Midfield,2
3042,Mikel Merino Zazón,19,Center Attacking Midfield,2
8950,Orel Mangala,9,Right Defensive Midfield,2
6993,Bryan Cristante,9,Right Defensive Midfield,2
10287,İlkay Gündoğan,9,Right Defensive Midfield,2
7097,Christian Nørgaard,9,Right Defensive Midfield,2
5204,Bruno Miguel Borges Fernandes,9,Right Defensive Midfield,2
9929,Diogo José Teixeira da Silva,19,Center Attacking Midfield,2
2988,Memphis Depay,19,Center Attacking Midfield,2
6687,Saša Lukić,11,Left Defensive Midfield,2
38975,Georgiy Sudakov,11,Left Defensive Midfield,1
3831,Dušan Tadić,19,Center Attacking Midfield,1
4286,Callum Styles,11,Left Defensive Midfield,1
10481,Aurélien Djani Tchouaméni,11,Left Defensive Midfield,1
35242,Maximilian Beier,19,Center Attacking Midfield,1
4354,Phil Foden,9,Right Defensive Midfield,1
4354,Phil Foden,19,Center Attacking Midfield,1
33680,Kacper Urbanski,11,Left Defensive Midfield,1
33281,Joshua Zirkzee,19,Center Attacking Midfield,1
4870,Tomáš Souček,11,Left Defensive Midfield,1
31968,Adam Gnezda Čerin,19,Center Attacking Midfield,1
5456,Mateo Kovačić,11,Left Defensive Midfield,1
34602,Adrián Rus,11,Left Defensive Midfield,1
39624,Francisco Fernandes Conceição,19,Center Attacking Midfield,1
3620,Scott McTominay,19,Center Attacking Midfield,1
39490,Luka Sučić,19,Center Attacking Midfield,1
149576,Semih Kılıçsoy,19,Center Attacking Midfield,1
144127,Volodymyr Brazhko,11,Left Defensive Midfield,1
144127,Volodymyr Brazhko,9,Right Defensive Midfield,1
143864,Fermin Lopez Marin,19,Center Attacking Midfield,1
3026,Adrien Rabiot,11,Left Defensive Midfield,1
116587,Arda Güler,11,Left Defensive Midfield,1
78241,İsmail Yüksek,11,Left Defensive Midfield,1
3097,Pascal Groß,9,Right Defensive Midfield,1
3097,Pascal Groß,11,Left Defensive Midfield,1
3193,Bernardo Mota Veiga de Carvalho e Silva,9,Right Defensive Midfield,1
3533,Xherdan Shaqiri,19,Center Attacking Midfield,1
3567,Georginio Wijnaldum,11,Left Defensive Midfield,1
3620,Scott McTominay,9,Right Defensive Midfield,1
41202,Giorgi Kochorashvili,9,Right Defensive Midfield,1
40874,Matheus Luiz Nunes,9,Right Defensive Midfield,1
40735,Lazar Samardžić,19,Center Attacking Midfield,1
30913,Marius Mihai Marin,11,Left Defensive Midfield,1
30926,Davide Frattesi,9,Right Defensive Midfield,1
29531,Taulant Sulejmanov,19,Center Attacking Midfield,1
5463,Luka Modrić,9,Right Defensive Midfield,1
12555,Okay Yokuşlu,11,Left Defensive Midfield,1
16559,Leandro Trossard,19,Center Attacking Midfield,1
16557,Ruslan Malinovskiy,9,Right Defensive Midfield,1
7801,Antonín Barák,11,Left Defensive Midfield,1
16502,László Kleinheisler,11,Left Defensive Midfield,1
16502,László Kleinheisler,9,Right Defensive Midfield,1
8181,Nicolò Barella,19,Center Attacking Midfield,1
8506,Konrad Laimer,9,Right Defensive Midfield,1
8506,Konrad Laimer,19,Center Attacking Midfield,1
12555,Okay Yokuşlu,9,Right Defensive Midfield,1
30714,Jude Bellingham,11,Left Defensive Midfield,1
8621,Morten Hjulmand,11,Left Defensive Midfield,1
8784,Romano Schmid,9,Right Defensive Midfield,1
9478,Kenneth McLean,9,Right Defensive Midfield,1
9893,Klaus Gjasula,9,Right Defensive Midfield,1
9927,Rúben Diogo Da Silva Neves,9,Right Defensive Midfield,1
2954,Youri Tielemans,11,Left Defensive Midfield,1
10919,Juraj Kucka,9,Right Defensive Midfield,1
10916,Nicolae Claudiu Stanciu,19,Center Attacking Midfield,1
18797,Ryan Porteous,19,Center Attacking Midfield,1
21261,Jonas Older Wind,19,Center Attacking Midfield,1
7531,Qazim Laçi,19,Center Attacking Midfield,1
7097,Christian Nørgaard,11,Left Defensive Midfield,1
5562,Thomas Müller,19,Center Attacking Midfield,1
5660,Piotr Zieliński,9,Right Defensive Midfield,1
6319,Luka Jović,19,Center Attacking Midfield,1
29480,Jakub Moder,11,Left Defensive Midfield,1
29480,Jakub Moder,9,Right Defensive Midfield,1
29399,Conor Gallagher,11,Left Defensive Midfield,1
6655,Fabián Ruiz Peña,9,Right Defensive Midfield,1
28914,Lovro Majer,19,Center Attacking Midfield,1
6687,Saša Lukić,9,Right Defensive Midfield,1
28034,Lukáš Provod,9,Right Defensive Midfield,1
6765,Rodrigo Hernández Cascante,11,Left Defensive Midfield,1
6798,Stanislav Lobotka,11,Left Defensive Midfield,1
23454,Petr Ševčík,11,Left Defensive Midfield,1
6963,Lorenzo Pellegrini,11,Left Defensive Midfield,1
22212,Orkun Kökçü,9,Right Defensive Midfield,1
21633,Joey Veerman,19,Center Attacking Midfield,1
21582,Tijjani Reijnders,19,Center Attacking Midfield,1
264017,Anzor Mekvabishvili,11,Left Defensive Midfield,1
